catalog_name	family	copy	LG
38080	09	x1	0
38148	09	x1	0
38480	09	x1	0
38489	01	x1	0
38489	09	x1	0
38594	08	x1	28
38594	09	x1	0
38640	08	x1	29
39152	09	x1	0
39395	01	x1	0
39395	09	x1	0
39428	09	x1	0
39483	09	x1	0
39666	08	x1	27
39864	08	x1	9
39912	09	x1	0
40077	08	x1	12
40077	09	x1	0
40083	08	x1	11
40083	09	x1	0
40104	01	x1	0
40126	08	x1	27
40126	09	x1	0
40130	01	x1	0
40130	01	x2	0
40130	09	x1	0
40189	08	x1	35
40269	08	x1	3
40307	09	x1	0
40314	01	x1	0
40314	08	x1	2
40343	09	x1	0
40384	09	x1	0
40483	01	x1	0
40483	09	x1	0
40500	08	x1	6
40525	01	x1	0
40535	01	x1	0
40535	09	x1	0
40557	09	x1	0
4056	09	x1	0
40835	09	x1	0
40968	08	x1	22
40968	09	x1	0
40995	09	x1	0
41047	01	x1	0
41047	08	x1	0
41047	08	x2	7
41047	09	x1	0
4111	09	x1	0
41210	01	x1	0
41210	08	x1	22
41231	09	x1	0
41260	08	x1	19
41260	09	x1	0
41283	01	x1	0
41283	08	x1	0
41283	09	x1	0
41284	09	x1	0
41315	08	x1	3
41315	08	x2	7
41315	09	x1	0
41315	09	x2	0
41408	01	x1	0
41408	08	x1	9
41443	01	x1	0
41443	09	x1	0
4144	08	x1	33
4144	08	x2	8
41473	01	x1	0
41473	09	x1	0
41495	01	x1	0
41557	01	x1	0
41557	08	x1	28
41557	09	x1	0
41562	01	x1	0
41562	09	x1	0
41591	09	x1	0
41598	01	x1	0
41598	01	x2	0
41598	08	x1	11
41629	08	x1	11
41629	09	x1	0
41633	01	x1	0
41654	01	x1	0
41654	01	x2	0
41654	08	x1	37
41654	08	x2	9
41654	09	x1	0
41663	01	x1	0
41663	09	x1	0
41699	09	x1	0
41753	09	x1	0
41782	01	x1	0
41811	01	x1	0
41861	09	x1	0
4187	09	x1	0
4187	09	x2	0
4191	01	x1	0
4191	08	x1	0
4191	09	x1	0
41934	01	x1	0
41934	08	x1	11
41934	08	x2	27
41934	09	x1	0
41934	09	x2	0
4195	08	x1	1
4195	09	x1	0
4195	09	x2	0
41986	01	x1	0
41986	08	x1	11
41992	01	x1	0
41992	09	x1	0
4202	01	x1	0
42045	01	x1	0
42045	08	x1	10
42073	08	x1	10
42073	08	x2	28
42121	09	x1	0
42216	08	x1	6
42216	09	x1	0
42247	01	x1	0
42247	09	x1	0
42264	01	x1	0
42264	08	x1	12
42264	09	x1	0
42310	09	x1	0
42333	01	x1	0
42333	09	x1	0
42349	09	x1	0
42407	08	x1	0
42407	09	x1	0
42497	08	x1	22
42504	09	x1	0
42504	09	x2	0
42551	08	x1	2
42571	08	x1	11
42571	09	x1	0
42635	09	x1	0
42705	01	x1	0
42705	08	x1	22
42759	08	x1	7
42803	01	x1	0
42803	08	x1	14
42820	08	x1	12
42820	09	x1	0
42833	01	x1	0
42833	08	x1	6
42883	09	x1	0
42895	08	x1	22
4291	08	x1	13
42986	08	x1	6
43033	09	x1	0
43055	08	x1	3
43055	09	x1	0
43104	08	x1	28
43104	09	x1	0
4310	08	x1	22
4310	09	x1	0
4310	09	x2	0
43110	01	x1	0
43110	01	x2	0
43111	08	x1	0
43111	09	x1	0
43141	09	x1	0
43152	01	x1	0
43152	01	x2	0
43228	08	x1	28
43228	08	x2	10
43258	01	x1	0
43310	09	x1	0
43323	09	x1	0
43332	01	x1	0
43332	09	x1	0
43344	08	x1	12
43344	09	x1	0
43387	08	x1	35
43460	01	x1	0
43460	08	x1	0
43460	09	x1	0
43463	09	x1	0
43491	01	x1	0
43515	01	x1	0
43515	08	x1	28
43600	08	x1	2
43600	09	x1	0
43608	08	x1	17
43609	08	x1	3
43609	09	x1	0
43643	01	x1	0
43643	09	x1	0
43658	01	x1	0
43658	09	x1	0
43718	09	x1	0
43748	01	x1	0
43748	08	x1	10
43748	09	x1	0
43763	09	x1	0
43799	01	x1	0
43827	09	x1	0
43843	01	x1	0
43843	08	x1	36
43855	08	x1	35
43875	01	x1	0
4392	01	x1	0
4392	09	x1	0
43930	09	x1	0
4393	08	x1	6
43958	01	x1	0
43958	08	x1	10
43958	08	x2	28
43980	09	x1	0
44001	09	x1	0
44009	09	x1	0
44037	09	x1	0
44049	01	x1	0
44049	09	x1	0
44076	08	x1	6
44082	09	x1	0
44096	01	x1	0
44113	01	x1	0
44113	08	x1	13
44291	09	x1	0
44310	09	x1	0
44391	01	x1	0
44391	09	x1	0
44396	08	x1	22
4439	08	x1	0
4439	09	x1	0
44425	08	x1	20
44430	01	x1	0
44430	08	x1	1
44430	09	x1	0
44449	01	x1	0
44449	09	x1	0
44449	09	x2	0
44465	09	x1	0
44513	08	x1	5
44577	09	x1	0
44583	09	x1	0
44595	08	x1	37
44622	01	x1	0
44622	01	x2	0
44622	08	x1	37
44661	09	x1	0
44731	01	x1	0
44773	01	x1	0
44773	09	x1	0
44821	01	x1	0
44821	09	x1	0
44832	01	x1	0
44832	09	x1	0
4484	01	x1	0
4484	08	x1	0
44973	01	x1	0
44973	01	x2	0
44991	09	x1	0
4501	09	x1	0
45083	01	x1	0
45229	09	x1	0
45317	08	x1	19
45317	09	x1	0
45318	08	x1	11
45361	01	x1	0
45361	09	x1	0
45361	09	x2	0
45392	09	x1	0
4548	09	x1	0
45555	09	x1	0
4558	01	x1	0
45656	08	x1	5
45714	09	x1	0
45746	01	x1	0
45746	08	x1	36
45746	09	x1	0
45764	01	x1	0
45764	08	x1	1
45764	09	x1	0
457	01	x1	0
457	08	x1	35
457	08	x2	6
457	09	x1	0
45850	01	x1	0
45850	09	x1	0
45863	01	x1	0
45866	01	x1	0
45866	09	x1	0
45866	09	x2	0
45874	01	x1	0
45919	09	x1	0
4593	09	x1	0
4597	08	x1	27
4597	08	x2	11
4597	09	x1	0
4597	09	x2	0
45985	08	x1	7
46027	09	x1	0
46027	09	x2	0
46038	08	x1	0
46038	09	x1	0
46048	01	x1	0
46048	01	x2	0
46121	09	x1	0
46155	09	x1	0
46194	01	x1	0
46194	01	x2	0
46194	08	x1	26
46194	09	x1	0
46215	01	x1	0
46215	09	x1	0
46231	01	x1	0
4625	08	x1	9
46326	01	x1	0
46367	01	x1	0
46367	09	x1	0
46381	08	x1	11
46397	08	x1	16
46397	09	x1	0
46400	09	x1	0
4642	01	x1	0
4642	09	x1	0
46446	01	x1	0
46446	08	x1	0
46446	09	x1	0
46510	08	x1	12
46510	09	x1	0
46540	08	x1	2
46542	08	x1	35
46542	09	x1	0
46598	09	x1	0
46632	09	x1	0
46666	01	x1	0
46666	08	x1	12
46687	09	x1	0
46705	09	x1	0
46737	08	x1	10
46760	01	x1	0
46818	01	x1	0
46818	09	x1	0
46830	01	x1	0
46906	01	x1	0
46906	09	x1	0
46909	09	x1	0
46916	01	x1	0
46916	08	x1	6
46916	09	x1	0
46940	09	x1	0
46975	01	x1	0
46988	08	x1	35
46988	09	x1	0
47083	01	x1	0
47083	09	x1	0
47084	01	x1	0
47084	08	x1	22
4717	08	x1	5
4717	08	x2	19
4717	09	x1	0
47181	01	x1	0
47219	01	x1	0
47253	01	x1	0
47262	08	x1	12
47262	09	x1	0
47267	01	x1	0
47267	08	x1	7
47316	09	x1	0
47390	09	x1	0
47398	08	x1	9
47427	08	x1	0
47466	09	x1	0
47575	09	x1	0
47698	01	x1	0
47698	08	x1	12
47698	09	x1	0
476	01	x1	0
476	01	x2	0
47713	01	x1	0
47713	09	x1	0
47738	01	x1	0
47738	08	x1	0
47738	08	x2	36
47738	09	x1	0
47757	09	x1	0
47784	08	x1	21
47784	09	x1	0
47795	01	x1	0
47795	09	x1	0
47882	09	x1	0
47965	08	x1	28
47965	09	x1	0
47987	01	x1	0
47987	09	x1	0
48182	01	x1	0
48182	08	x1	22
48192	01	x1	0
48192	09	x1	0
48296	08	x1	7
48296	08	x2	36
48307	09	x1	0
48312	09	x1	0
48375	09	x1	0
48392	08	x1	2
48426	01	x1	0
48426	09	x1	0
48448	01	x1	0
48448	09	x1	0
48460	09	x1	0
48507	09	x1	0
48522	08	x1	32
48540	01	x1	0
48540	09	x1	0
48610	08	x1	7
48610	08	x2	7
48610	09	x1	0
48610	09	x2	0
48742	08	x1	28
48814	01	x1	0
48814	09	x1	0
48823	01	x1	0
48823	01	x2	0
48823	08	x1	22
48882	08	x1	12
48900	08	x1	22
48900	09	x1	0
49006	09	x1	0
49116	01	x1	0
49116	09	x1	0
49128	09	x1	0
49149	01	x1	0
49149	08	x1	27
49154	01	x1	0
49158	09	x1	0
49193	09	x1	0
49225	09	x1	0
49252	01	x1	0
4925	01	x1	0
4925	08	x1	28
4925	09	x1	0
4925	09	x2	0
49328	08	x1	6
49358	01	x1	0
49358	09	x1	0
49430	09	x1	0
4949	01	x1	0
4949	09	x1	0
49572	01	x1	0
49572	08	x1	35
49581	01	x1	0
49600	08	x1	22
49607	08	x1	11
49607	09	x1	0
49607	09	x2	0
49671	08	x1	3
49671	09	x1	0
49849	09	x1	0
49870	01	x1	0
49875	01	x1	0
49875	08	x2	0
49934	01	x1	0
49934	08	x1	22
49943	01	x1	0
49943	08	x1	12
49945	08	x1	11
49945	09	x1	0
49970	08	x1	9
4	01	x1	0
4	08	x1	37
4	09	x1	0
50001	01	x1	0
50019	08	x2	11
50039	08	x1	28
50048	08	x1	12
50062	09	x1	0
50079	09	x1	0
50135	09	x1	0
50212	09	x1	0
50415	01	x1	0
50415	08	x1	12
50453	01	x1	0
50477	01	x1	0
50477	08	x1	3
50500	01	x1	0
50500	09	x1	0
50503	09	x1	0
5056	01	x1	0
5056	09	x1	0
50586	01	x1	0
50586	09	x1	0
50691	08	x1	0
50704	08	x1	0
50725	08	x1	4
50829	01	x1	0
50829	08	x1	23
50899	08	x1	27
50899	09	x1	0
50903	01	x1	0
50903	08	x1	0
50903	09	x1	0
50944	09	x1	0
5098	09	x1	0
5104	09	x1	0
51186	08	x1	12
51186	09	x1	0
51227	01	x1	0
51283	01	x1	0
5139	01	x1	0
5139	09	x1	0
51437	09	x1	0
51455	08	x1	3
51455	09	x1	0
5145	01	x1	0
51485	09	x1	0
51493	01	x1	0
51493	01	x2	0
51493	08	x1	37
51493	08	x2	9
51493	09	x1	0
51543	09	x1	0
51565	08	x1	33
51600	08	x1	28
51615	01	x1	0
51615	01	x2	0
51615	08	x1	3
51669	01	x1	0
51720	08	x1	16
51720	09	x1	0
5174	08	x1	27
5174	09	x1	0
5174	09	x2	0
5179	09	x1	0
51812	09	x1	0
51841	01	x1	0
51880	01	x1	0
51880	09	x1	0
51939	01	x1	0
51939	09	x1	0
5211	01	x1	0
52128	01	x1	0
52208	09	x1	0
5226	01	x1	0
5226	09	x1	0
52272	08	x1	12
52274	08	x1	11
52274	09	x1	0
52314	09	x1	0
52330	09	x1	0
52392	09	x1	0
52519	08	x1	22
52519	09	x1	0
52526	09	x1	0
52527	01	x1	0
52527	08	x1	14
52722	01	x1	0
52722	08	x1	9
52722	09	x1	0
52779	01	x1	0
52779	08	x1	7
52779	09	x1	0
52800	08	x1	7
52800	09	x1	0
52800	09	x2	0
52815	08	x1	34
52964	01	x1	0
52964	09	x1	0
52964	09	x2	0
53096	01	x1	0
53096	08	x1	28
53097	08	x1	11
53097	09	x1	0
53104	08	x1	27
53123	09	x1	0
53197	08	x1	12
53197	09	x1	0
53215	08	x1	6
53220	01	x1	0
53220	08	x1	10
53244	01	x1	0
53244	08	x1	11
53244	08	x2	27
53244	09	x1	0
53262	09	x1	0
53271	09	x1	0
53298	09	x1	0
53315	09	x1	0
53360	01	x1	0
53360	01	x2	0
53360	09	x1	0
53367	09	x1	0
53380	01	x1	0
53380	08	x1	22
53380	08	x2	12
53419	01	x1	0
53419	09	x1	0
53455	01	x1	0
53455	09	x1	0
53479	01	x1	0
53479	09	x1	0
53482	01	x1	0
53482	09	x1	0
53482	09	x2	0
53514	01	x1	0
53514	01	x2	0
53514	09	x1	0
53549	01	x1	0
53558	01	x1	0
53558	08	x1	25
53558	09	x1	0
53567	09	x1	0
