old_name	new_name	LG
1576_chum_09_x1	1576_E	0
1576_chum_09_x2	1576_F	0
13831_chum_08_x1	13831_A	0
13831_chum_08_x2	13831_B	0
13831_chum_01_x1	13831_C	0
13831_chum_01_x2	13831_D	0
13831_chum_09_x1	13831_E	35
13831_chum_09_x2	13831_F	0
31342_chum_08_x1	31342_A	0
31342_chum_08_x2	31342_B	0
31342_chum_01_x1	31342_C	0
31342_chum_01_x2	31342_D	0
31342_chum_09_x1	31342_E	7
31342_chum_09_x2	31342_F	0
61347_chum_08_x1	61347_A	0
61347_chum_08_x2	61347_B	0
61347_chum_01_x1	61347_C	0
61347_chum_01_x2	61347_D	0
61347_chum_09_x1	61347_E	19
61347_chum_09_x2	61347_F	0
61346_chum_08_x1	61346_A	26
61346_chum_08_x2	61346_B	0
61346_chum_01_x1	61346_C	0
61346_chum_01_x2	61346_D	0
61346_chum_09_x1	61346_E	0
61346_chum_09_x2	61346_F	0
50899_chum_08_x1	50899_A	27
50899_chum_08_x2	50899_B	0
50899_chum_01_x1	50899_C	0
50899_chum_01_x2	50899_D	0
50899_chum_09_x1	50899_A	27
50899_chum_09_x2	50899_E	0
59327_chum_08_x1	59327_A	0
59327_chum_08_x2	59327_B	0
59327_chum_01_x1	59327_C	6
59327_chum_01_x2	59327_D	0
59327_chum_09_x1	59327_E	0
59327_chum_09_x2	59327_F	0
6576_chum_08_x1	6576_A	0
6576_chum_08_x2	6576_B	0
6576_chum_01_x1	6576_C	0
6576_chum_01_x2	6576_D	0
6576_chum_09_x1	6576_E	28
6576_chum_09_x2	6576_F	0
61749_chum_08_x1	61749_A	0
61749_chum_08_x2	61749_B	0
61749_chum_01_x1	61749_C	13
61749_chum_01_x2	61749_D	0
61749_chum_09_x1	61749_C	13
61749_chum_09_x2	61749_E	0
73891_chum_08_x1	73891_A	0
73891_chum_08_x2	73891_B	0
73891_chum_01_x1	73891_C	0
73891_chum_01_x2	73891_D	0
73891_chum_09_x1	73891_E	0
73891_chum_09_x2	73891_F	0
29616_chum_08_x1	29616_A	0
29616_chum_08_x2	29616_B	0
29616_chum_01_x1	29616_C	0
29616_chum_01_x2	29616_D	0
29616_chum_09_x1	29616_E	0
29616_chum_09_x2	29616_F	0
7692_chum_08_x1	7692_A	7
7692_chum_08_x2	7692_B	0
7692_chum_01_x1	7692_C	0
7692_chum_01_x2	7692_D	0
7692_chum_09_x1	7692_E	3
7692_chum_09_x2	7692_A	7
50415_chum_08_x1	50415_A	12
50415_chum_08_x2	50415_B	0
50415_chum_01_x1	50415_A	12
50415_chum_01_x2	50415_C	0
50415_chum_09_x1	50415_D	0
50415_chum_09_x2	50415_E	0
