catalog_name	family	copy	LG
2091	09	x1	11
20921	01	x1	7
20949	01	x1	0
21071	09	x1	0
21178	01	x1	2
21178	08	x1	2
2127	01	x1	0
2127	08	x1	6
21322	09	x1	11
21397	09	x1	0
21457	09	x1	0
21478	08	x1	35
21512	09	x1	22
2175	01	x1	2
2175	01	x2	11
2175	09	x1	11
21847	01	x1	0
2185	08	x1	16
218	01	x1	11
22117	01	x1	0
22149	01	x1	0
22150	01	x1	0
22166	01	x1	0
22166	09	x1	11
22186	01	x1	3
22186	09	x1	3
22194	08	x1	2
22199	08	x1	11
22199	08	x2	2
22199	09	x1	2
221	01	x1	0
221	09	x1	21
22280	09	x1	0
22285	01	x1	27
2232	01	x1	0
2240	09	x1	25
22435	01	x1	12
2243	08	x1	0
2244	08	x1	22
22472	08	x1	27
22472	09	x1	12
22574	01	x1	0
22574	09	x1	0
22585	01	x1	0
22585	09	x1	0
22674	01	x1	2
22674	08	x1	2
22775	09	x1	0
22781	08	x1	11
22913	09	x1	35
22948	01	x1	28
23037	01	x1	22
23037	09	x1	22
23040	09	x1	27
23053	08	x1	32
23067	01	x1	0
23067	08	x1	10
23067	09	x1	0
23130	09	x1	12
23175	09	x1	0
23199	01	x1	25
23199	09	x1	25
23309	01	x1	0
23352	01	x1	0
23352	09	x1	0
23385	08	x1	10
2341	01	x1	2
2344	01	x1	0
23570	09	x1	28
23722	01	x1	0
2403	09	x1	0
24080	08	x1	10
24214	01	x1	28
24214	09	x1	28
24303	09	x1	6
24366	09	x1	0
24371	09	x1	7
24377	08	x1	22
2440	09	x1	0
24445	01	x1	0
24522	01	x1	9
24628	01	x1	0
24628	09	x1	0
246	01	x1	0
24716	01	x1	0
24727	09	x1	7
24768	01	x1	37
24768	01	x2	9
24768	09	x1	9
24768	09	x2	0
25036	09	x1	2
25071	09	x1	27
25201	09	x1	0
25353	01	x1	0
25353	09	x1	33
25453	01	x1	0
25453	08	x1	1
25572	01	x1	0
25649	01	x1	0
25685	09	x1	0
2574	09	x1	0
25752	08	x1	11
25816	01	x1	0
25816	09	x1	0
25881	08	x1	2
25931	09	x1	0
25971	09	x1	0
2604	08	x1	6
2604	09	x1	11
26090	08	x1	28
26090	09	x1	0
26097	08	x1	28
2613	08	x1	0
26176	09	x1	0
2619	01	x1	27
2619	01	x2	27
2619	08	x1	27
2619	08	x2	27
2619	09	x1	27
2619	09	x2	27
26236	08	x1	25
26236	09	x1	0
26270	08	x1	27
26307	08	x1	27
26337	09	x1	0
2635	08	x1	2
26395	09	x1	35
26467	01	x1	0
26467	09	x1	0
26538	09	x1	0
2656	09	x1	0
26582	08	x1	2
26602	01	x1	0
26644	09	x1	0
26683	08	x1	9
26683	08	x2	37
26801	08	x1	28
26801	09	x1	0
26	01	x1	0
26	08	x1	20
26	09	x1	20
27017	09	x1	0
27186	01	x1	6
27186	09	x1	6
2719	08	x1	35
27266	01	x1	22
27266	08	x1	22
27346	09	x1	36
27378	01	x1	6
27378	09	x1	6
2742	01	x1	0
2742	09	x1	0
27481	01	x1	32
27481	08	x1	32
2752	01	x1	6
27538	08	x1	0
2758	08	x1	18
2758	09	x1	18
2761	08	x1	28
27662	01	x1	25
27772	09	x1	11
27847	01	x1	28
2792	08	x1	9
2795	01	x1	0
2795	09	x1	0
28007	01	x1	12
28007	08	x1	12
28078	09	x1	0
2813	09	x1	27
28159	09	x1	11
28168	01	x1	10
28176	01	x1	22
281	01	x1	6
281	08	x1	6
281	09	x1	6
28253	01	x1	0
28253	09	x1	0
28260	01	x1	0
28272	08	x1	35
2827	08	x1	0
2827	09	x1	7
28283	09	x1	36
28284	01	x1	27
28284	08	x1	12
28293	09	x1	0
282	08	x1	27
282	08	x2	12
28477	08	x1	0
2851	09	x1	0
28579	09	x1	0
28592	09	x1	0
28633	01	x1	27
28633	08	x1	27
28633	09	x1	27
28642	01	x1	27
28677	01	x1	0
28677	09	x1	11
288	01	x1	28
288	09	x1	28
28938	01	x1	22
2912	01	x1	0
29133	01	x1	37
29133	09	x1	0
29184	01	x1	36
29276	08	x1	16
29291	01	x1	0
29291	09	x1	0
2953	01	x1	37
29565	08	x1	11
29565	09	x1	11
29589	01	x1	0
29616	01	x1	0
29637	08	x1	0
29807	01	x1	0
29835	01	x1	6
29835	09	x1	35
29907	08	x1	22
29942	01	x1	34
29942	09	x1	34
30055	01	x1	22
30055	09	x1	11
3009	09	x1	0
30251	08	x1	7
30251	09	x1	0
30350	09	x1	0
30390	01	x1	15
3039	01	x1	0
3039	09	x1	0
30415	08	x1	7
30508	09	x1	7
30524	08	x1	7
30524	09	x1	3
3065	01	x1	9
3066	08	x1	26
3071	09	x1	12
307	08	x1	22
30849	08	x1	2
31004	08	x1	11
31247	01	x1	28
31254	08	x1	28
31342	09	x1	7
31436	01	x1	7
31436	09	x1	7
31519	09	x1	0
31648	08	x1	3
31648	08	x2	7
31648	09	x1	0
31703	01	x1	0
31703	09	x1	0
3181	01	x1	12
3181	08	x1	12
31879	08	x1	28
31893	08	x1	7
31893	09	x1	0
32004	09	x1	0
32007	01	x1	28
32007	08	x1	28
32007	09	x1	28
32055	01	x1	7
32201	08	x1	7
3227	08	x1	7
32364	09	x1	0
32365	01	x1	36
32405	09	x1	0
32617	09	x1	0
32646	08	x1	7
32787	08	x1	2
32787	09	x1	11
32794	08	x1	5
32794	09	x1	5
32876	09	x1	20
32899	01	x1	27
32901	08	x1	3
32901	09	x1	7
3290	08	x1	10
33068	09	x1	22
33155	01	x1	27
33213	01	x1	27
33213	09	x1	27
33267	09	x1	0
33281	08	x1	0
3330	09	x1	0
33319	09	x1	0
33332	01	x1	0
3333	08	x1	25
3333	09	x1	25
33382	08	x1	2
33397	01	x1	0
33397	09	x1	0
33410	09	x1	0
33501	09	x1	0
33501	09	x2	9
33547	01	x1	6
335	08	x1	2
3362	09	x1	0
33651	08	x1	2
33651	09	x1	11
33665	09	x1	22
33681	08	x1	12
33681	09	x1	12
33859	09	x1	27
34015	08	x1	0
3429	09	x1	7
34314	08	x1	22
34387	08	x1	37
34408	01	x1	0
34408	09	x1	0
34427	08	x1	11
34477	01	x1	11
3469	01	x1	10
3469	09	x1	0
34705	08	x1	27
34803	08	x1	27
34824	08	x1	11
34869	01	x1	9
34869	08	x1	37
34918	08	x1	0
34923	01	x1	0
34923	08	x1	36
34923	09	x1	0
3522	08	x1	28
3522	09	x1	28
35303	08	x1	0
3538	08	x1	36
3538	09	x1	36
3547	08	x1	4
