# Population CMSHERW94F	CMSHERW94F_0010,CMSHERW94F_0012,CMSHERW94F_0018,CMSHERW94F_0019,CMSHERW94F_0022,CMSHERW94F_0024,CMSHERW94F_0026,CMSHERW94F_0027,CMSHERW94F_0028,CMSHERW94F_0032,CMSHERW94F_0033,CMSHERW94F_0035,CMSHERW94F_0036,CMSHERW94F_0039,CMSHERW94F_0045,CMSHERW94F_0046,CMSHERW94F_0047,CMSHERW94F_0052,CMSHERW94F_0056,CMSHERW94F_0058,CMSHERW94F_0059,CMSHERW94F_0061,CMSHERW94F_0064,CMSHERW94F_0066,CMSHERW94F_0074,CMSHERW94F_0075,CMSHERW94F_0076,CMSHERW94F_0083,CMSHERW94F_0084,CMSHERW94F_0085,CMSHERW94F_0086,CMSHERW94F_0091
# Population CMSHERW94S	CMSHERW94S_0001,CMSHERW94S_0003,CMSHERW94S_0009,CMSHERW94S_0015,CMSHERW94S_0016,CMSHERW94S_0017,CMSHERW94S_0018,CMSHERW94S_0019,CMSHERW94S_0020,CMSHERW94S_0022,CMSHERW94S_0027,CMSHERW94S_0032,CMSHERW94S_0033,CMSHERW94S_0034,CMSHERW94S_0047,CMSHERW94S_0050,CMSHERW94S_0053,CMSHERW94S_0056,CMSHERW94S_0057,CMSHERW94S_0059,CMSHERW94S_0062,CMSHERW94S_0066,CMSHERW94S_0068,CMSHERW94S_0071,CMSHERW94S_0075,CMSHERW94S_0081,CMSHERW94S_0083,CMSHERW94S_0085,CMSHERW94S_0087,CMSHERW94S_0090,CMSHERW94S_0093,CMSHERW94S_0095
# Batch ID 	Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	phi_st	Smoothed Phi_st	Smoothed Phi_st P-value	Fst'	Smoothed Fst'	Smoothed Fst' P-value	D_est	Smoothed D_est	Smoothed D_est P-value
2	322	CMSHERW94F	CMSHERW94S	c10351	0	0.0074	0.0000	0.0000	0.0012	0.0000	0.0000	0.0009	0.0000	0.0000
2	324	CMSHERW94F	CMSHERW94S	c10353	0	0.0055	0.0000	0.0000	0.0048	0.0000	0.0000	0.0047	0.0000	0.0000
2	326	CMSHERW94F	CMSHERW94S	c10356	0	-0.0189	0.0000	0.0000	-0.0193	0.0000	0.0000	-0.0193	0.0000	0.0000
2	334	CMSHERW94F	CMSHERW94S	c10366	0	-0.0005	0.0000	0.0000	-0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
2	336	CMSHERW94F	CMSHERW94S	c10369	0	-0.0160	0.0000	0.0000	-0.0115	0.0000	0.0000	-0.0115	0.0000	0.0000
2	339	CMSHERW94F	CMSHERW94S	c10372	0	0.0300	0.0000	0.0000	0.0077	0.0000	0.0000	0.0077	0.0000	0.0000
2	341	CMSHERW94F	CMSHERW94S	c10375	0	0.0052	0.0000	0.0000	0.0115	0.0000	0.0000	0.0115	0.0000	0.0000
2	343	CMSHERW94F	CMSHERW94S	c10377	0	-0.0167	0.0000	0.0000	-0.0169	0.0000	0.0000	-0.0169	0.0000	0.0000
2	344	CMSHERW94F	CMSHERW94S	c10379	0	-0.0008	0.0000	0.0000	-0.0006	0.0000	0.0000	-0.0007	0.0000	0.0000
2	353	CMSHERW94F	CMSHERW94S	c1038	0	-0.0164	0.0000	0.0000	-0.0167	0.0000	0.0000	-0.0167	0.0000	0.0000
2	355	CMSHERW94F	CMSHERW94S	c10392	0	-0.0158	0.0000	0.0000	-0.0107	0.0000	0.0000	-0.0107	0.0000	0.0000
2	357	CMSHERW94F	CMSHERW94S	c10394	0	-0.0166	0.0000	0.0000	-0.0047	0.0000	0.0000	-0.0047	0.0000	0.0000
2	358	CMSHERW94F	CMSHERW94S	c10395	0	-0.0117	0.0000	0.0000	-0.0118	0.0000	0.0000	-0.0118	0.0000	0.0000
2	359	CMSHERW94F	CMSHERW94S	c10396	0	0.0316	0.0000	0.0000	0.0043	0.0000	0.0000	0.0046	0.0000	0.0000
2	361	CMSHERW94F	CMSHERW94S	c10398	0	0.0033	0.0000	0.0000	0.0010	0.0000	0.0000	0.0006	0.0000	0.0000
2	362	CMSHERW94F	CMSHERW94S	c10399	0	-0.0176	0.0000	0.0000	-0.0177	0.0000	0.0000	-0.0176	0.0000	0.0000
2	448	CMSHERW94F	CMSHERW94S	c104	0	-0.0026	0.0000	0.0000	-0.0026	0.0000	0.0000	-0.0026	0.0000	0.0000
2	371	CMSHERW94F	CMSHERW94S	c1040	0	-0.0216	0.0000	0.0000	-0.0220	0.0000	0.0000	-0.0221	0.0000	0.0000
2	364	CMSHERW94F	CMSHERW94S	c10400	0	-0.0165	0.0000	0.0000	-0.0159	0.0000	0.0000	-0.0159	0.0000	0.0000
2	365	CMSHERW94F	CMSHERW94S	c10402	0	-0.0006	0.0000	0.0000	-0.0073	0.0000	0.0000	-0.0073	0.0000	0.0000
2	366	CMSHERW94F	CMSHERW94S	c10403	0	-0.0078	0.0000	0.0000	-0.0067	0.0000	0.0000	-0.0067	0.0000	0.0000
2	368	CMSHERW94F	CMSHERW94S	c10406	0	0.0297	0.0000	0.0000	0.0209	0.0000	0.0000	0.0210	0.0000	0.0000
2	370	CMSHERW94F	CMSHERW94S	c10409	0	-0.0009	0.0000	0.0000	-0.0002	0.0000	0.0000	-0.0001	0.0000	0.0000
2	379	CMSHERW94F	CMSHERW94S	c1041	0	0.0424	0.0000	0.0000	0.0305	0.0000	0.0000	0.0306	0.0000	0.0000
2	372	CMSHERW94F	CMSHERW94S	c10410	0	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
2	378	CMSHERW94F	CMSHERW94S	c10418	0	-0.0006	0.0000	0.0000	0.0034	0.0000	0.0000	0.0034	0.0000	0.0000
2	388	CMSHERW94F	CMSHERW94S	c1042	0	0.0686	0.0000	0.0000	0.0275	0.0000	0.0000	0.0272	0.0000	0.0000
2	382	CMSHERW94F	CMSHERW94S	c10423	0	0.0246	0.0000	0.0000	0.0143	0.0000	0.0000	0.0142	0.0000	0.0000
2	386	CMSHERW94F	CMSHERW94S	c10428	0	-0.0104	0.0000	0.0000	-0.0076	0.0000	0.0000	-0.0076	0.0000	0.0000
2	392	CMSHERW94F	CMSHERW94S	c10434	0	0.1564	0.0000	0.0000	0.2860	0.0000	0.0000	0.2663	0.0000	0.0000
2	393	CMSHERW94F	CMSHERW94S	c10436	0	-0.0147	0.0000	0.0000	-0.0150	0.0000	0.0000	-0.0150	0.0000	0.0000
2	394	CMSHERW94F	CMSHERW94S	c10437	0	-0.0028	0.0000	0.0000	-0.0142	0.0000	0.0000	-0.0142	0.0000	0.0000
2	395	CMSHERW94F	CMSHERW94S	c10438	0	-0.0182	0.0000	0.0000	-0.0226	0.0000	0.0000	-0.0226	0.0000	0.0000
2	403	CMSHERW94F	CMSHERW94S	c10447	0	-0.0119	0.0000	0.0000	-0.0056	0.0000	0.0000	-0.0056	0.0000	0.0000
2	404	CMSHERW94F	CMSHERW94S	c10448	0	-0.0175	0.0000	0.0000	-0.0227	0.0000	0.0000	-0.0228	0.0000	0.0000
2	410	CMSHERW94F	CMSHERW94S	c10454	0	0.0051	0.0000	0.0000	0.0039	0.0000	0.0000	0.0038	0.0000	0.0000
2	417	CMSHERW94F	CMSHERW94S	c10466	0	-0.0085	0.0000	0.0000	-0.0075	0.0000	0.0000	-0.0075	0.0000	0.0000
2	418	CMSHERW94F	CMSHERW94S	c10467	0	-0.0346	0.0000	0.0000	-0.0359	0.0000	0.0000	-0.0359	0.0000	0.0000
2	429	CMSHERW94F	CMSHERW94S	c1047	0	-0.0185	0.0000	0.0000	-0.0189	0.0000	0.0000	-0.0189	0.0000	0.0000
2	424	CMSHERW94F	CMSHERW94S	c10473	0	0.0214	0.0000	0.0000	0.0122	0.0000	0.0000	0.0119	0.0000	0.0000
2	425	CMSHERW94F	CMSHERW94S	c10474	0	0.1068	0.0000	0.0000	0.0846	0.0000	0.0000	0.1026	0.0000	0.0000
2	428	CMSHERW94F	CMSHERW94S	c10479	0	-0.0039	0.0000	0.0000	-0.0037	0.0000	0.0000	-0.0037	0.0000	0.0000
2	436	CMSHERW94F	CMSHERW94S	c10486	0	-0.0144	0.0000	0.0000	-0.0139	0.0000	0.0000	-0.0139	0.0000	0.0000
2	438	CMSHERW94F	CMSHERW94S	c10488	0	0.0270	0.0000	0.0000	0.0197	0.0000	0.0000	0.0199	0.0000	0.0000
2	440	CMSHERW94F	CMSHERW94S	c10490	0	-0.0205	0.0000	0.0000	-0.0210	0.0000	0.0000	-0.0210	0.0000	0.0000
2	441	CMSHERW94F	CMSHERW94S	c10491	0	-0.0119	0.0000	0.0000	-0.0114	0.0000	0.0000	-0.0115	0.0000	0.0000
2	443	CMSHERW94F	CMSHERW94S	c10493	0	0.0038	0.0000	0.0000	0.0015	0.0000	0.0000	0.0015	0.0000	0.0000
