LG	locus	cm
2	42892_x1	108.094
2	44139_x1	108.094
2	20608_x1	108.094
2	61785_x2	108.661
2	52543_x1	109.239
2	45170_x1	109.391
2	42100_x1	122.275
2	78179_x1	122.275
2	5313_x1	122.275
2	54604_x1	122.275
2	55741_x1	122.275
2	46427_x1	122.275
2	45670_x1	123.498
2	11974_x1	125.077
2	1018_x1	126.446
2	14495_x1	129.089
2	69970_x1	131.018
2	6248_x1	131.966
2	42759_x1	135.566
2	55192_x1	135.837
2	67446_x1	136.343
2	26657_x1	139.369
2	63723_x1	139.543
2	77826_x1	139.543
2	37425_x1	139.857
2	63848_x1	141.502
2	77134_x1	141.502
2	49174_x1	141.502
2	3124_x1	141.502
2	67174_x1	141.502
2	43169_x1	141.502
2	64703_x1	143.046
2	18930_x1	143.991
2	5193_x1	144.347
2	16125_x1	144.744
2	47267_x1	145.315
2	47776_x1	145.887
2	49465_x1	145.887
2	53033_x1	145.887
2	13700_x1	145.887
2	58900_x2	145.887
2	5533_x1	145.887
2	6338_x1	145.887
2	48610_x2	145.887
2	48610_x1	145.887
2	57272_x1	145.887
2	11885_x1	145.887
2	52992_x1	146.452
2	6688_x2	148.751
2	52779_x1	149.348
2	58204_x1	149.946
2	7692_x1	150.502
2	32201_x1	151.125
2	18083_x1	151.125
2	31893_x1	151.125
2	9232_x1	151.64
2	19586_x1	152.402
2	19837_x1	153.577
2	60216_x1	155.87
2	15252_x1	156.425
2	10994_x1	156.425
2	55791_x1	156.425
2	32646_x1	156.425
2	63975_x1	157.001
2	53802_x2	157.573
2	59835_x1	157.573
2	7719_x1	158.144
2	45985_x1	158.716
2	46609_x1	158.716
2	6723_x1	158.716
2	60100_x1	158.716
2	3619_x1	158.716
2	41315_x2	158.716
2	71956_x1	158.866
2	3227_x1	159.422
2	60754_x1	160.027
2	39956_x1	160.661
2	9952_x1	162.389
2	7451_x1	162.978
2	54179_x1	163.598
2	8508_x1	164.212
2	30251_x1	164.866
2	60776_x1	164.997
2	68796_x1	165.598
2	68553_x1	166.766
2	30524_x1	167.385
2	14140_x1	167.987
2	60963_x1	168.548
2	54148_x1	168.867
2	61281_x1	170.08
2	18801_x1	170.651
2	8925_x1	171.164
2	47409_x1	171.164
2	30415_x1	171.164
2	6180_x1	171.164
2	65748_x1	171.733
2	31648_x2	174.034
3	48210_x1	0
3	61904_x1	0
3	45902_x1	0.445
3	63905_x1	0.72
3	64189_x1	0.926
3	53981_x1	0.926
3	15385_x1	0.926
3	22055_x1	0.926
3	68352_x1	0.926
3	11648_x1	0.926
3	20681_x1	0.926
3	47927_x1	0.926
3	54326_x1	0.926
3	10612_x1	0.926
3	43082_x1	0.926
3	59532_x1	0.926
3	60868_x1	0.926
3	78474_x1	0.926
3	53398_x1	0.926
3	55566_x1	7.245
3	6524_x1	7.245
3	16605_x1	7.245
3	22185_x1	8.375
3	67740_x1	8.375
